State,Crop Type,Rainfall,Temperature,Soil Type,Fertilizer Usage,Area,Yield
Uttar Pradesh,Maize,593.3,26.7,Peaty,65.4,4.69,5.02
Uttar Pradesh,Cotton,887.4,33.5,Sandy,64.5,3.66,2.43
Gujarat,Cotton,677.1,21.8,Peaty,71.4,3.64,3.61
Rajasthan,Cotton,714.7,26.7,Clay,120.4,2.48,4.45
Bihar,Maize,704.7,25.0,Clay,168.1,2.19,4.9
Tamil Nadu,Pulses,1030.6,25.7,Loamy,95.9,4.62,4.34
Tamil Nadu,Pulses,842.0,17.8,Clay,100.9,5.11,4.34
Karnataka,Maize,855.4,33.1,Sandy,111.4,1.64,3.81
Andhra Pradesh,Soybean,1049.2,22.1,Peaty,142.9,6.02,5.26
West Bengal,Maize,864.5,31.1,Clay,100.9,6.03,5.59
Maharashtra,Soybean,830.4,22.9,Silt,98.7,6.45,5.0
Uttar Pradesh,Sugarcane,,22.9,Silt,66.2,5.1,6.36
Rajasthan,Cotton,1067.0,32.1,Clay,97.1,5.77,3.79
Tamil Nadu,Wheat,863.2,31.0,Peaty,167.1,8.87,5.42
Tamil Nadu,Sugarcane,920.2,27.0,,123.6,3.9,7.06
Bihar,Maize,704.6,29.8,Loamy,90.4,2.41,4.94
Karnataka,Rice,684.8,24.6,Peaty,169.4,1.43,5.66
Maharashtra,Rice,1092.3,26.0,Peaty,96.6,8.01,6.74
Maharashtra,Pulses,1011.2,22.7,Loamy,176.8,8.04,5.02
Andhra Pradesh,Wheat,1013.8,30.5,Peaty,,2.65,5.29
Punjab,Soybean,970.2,22.5,Peaty,122.2,3.05,4.53
Bihar,Pulses,911.6,33.4,Peaty,60.1,3.85,3.27
Tamil Nadu,Wheat,1074.1,24.4,Clay,211.6,6.95,5.65
Rajasthan,Sugarcane,1133.8,26.1,Silt,135.5,1.93,7.25
West Bengal,Sugarcane,1127.8,29.8,Sandy,107.0,0.57,5.85
Tamil Nadu,Maize,874.8,26.1,Silt,158.2,8.84,5.75
Karnataka,Sugarcane,1246.7,,Silt,148.1,5.12,6.87
West Bengal,Maize,,25.8,Silt,172.4,5.41,6.28
Maharashtra,Cotton,1058.1,30.5,Sandy,93.5,4.09,3.65
Karnataka,Cotton,970.5,22.7,Silt,132.7,5.43,4.72
West Bengal,Soybean,961.8,25.4,Sandy,72.6,1.47,3.91
Karnataka,Sugarcane,716.1,26.1,Loamy,146.7,2.82,7.01
Andhra Pradesh,Maize,,30.3,Loamy,119.1,4.71,5.2
Maharashtra,Pulses,,25.5,Peaty,131.2,0.5,3.73
Tamil Nadu,Soybean,806.3,35.0,,114.1,3.89,4.24
Bihar,Pulses,,25.2,Sandy,110.0,3.77,3.61
Maharashtra,Soybean,788.4,24.8,Loamy,85.3,3.89,4.91
Bihar,Maize,778.0,25.1,Silt,151.6,3.4,4.86
Rajasthan,Soybean,1286.1,19.4,Loamy,179.6,2.51,4.64
Maharashtra,Maize,731.8,20.8,Clay,97.7,0.86,5.17
Karnataka,Rice,781.5,23.3,Clay,142.1,4.79,6.59
Gujarat,Cotton,503.1,31.7,Loamy,137.3,3.9,3.63
Punjab,Pulses,710.6,25.8,Peaty,120.3,1.75,4.15
Rajasthan,Cotton,472.9,23.6,Sandy,58.9,4.63,3.41
West Bengal,Maize,1058.0,32.1,Clay,67.9,3.91,4.97
Maharashtra,Cotton,1599.9,33.8,Sandy,88.8,3.58,4.18
Bihar,Maize,808.3,32.3,Loamy,34.4,0.5,4.37
Uttar Pradesh,Sugarcane,483.3,21.7,Sandy,176.3,5.87,6.61
Rajasthan,Maize,1125.0,23.5,Sandy,134.7,2.03,5.14
Tamil Nadu,Cotton,718.3,35.1,Clay,118.8,4.63,3.19
Andhra Pradesh,Maize,1224.8,27.2,Peaty,32.4,2.88,6.05
Karnataka,Maize,829.5,24.7,Clay,47.0,3.72,5.34
Tamil Nadu,Pulses,742.0,29.6,Loamy,119.9,6.8,4.24
Uttar Pradesh,Maize,855.5,31.0,Sandy,198.8,5.56,5.31
Maharashtra,Wheat,1089.4,23.1,Peaty,92.1,6.76,6.02
Uttar Pradesh,Maize,843.1,27.1,Clay,154.6,5.16,5.98
Uttar Pradesh,Cotton,775.8,30.6,Loamy,100.8,5.29,2.89
Karnataka,Wheat,850.3,20.2,Peaty,122.2,0.94,4.85
Uttar Pradesh,Maize,582.0,26.1,Sandy,168.6,3.86,4.86
Gujarat,Rice,999.3,20.4,Loamy,106.2,4.05,6.15
Gujarat,Cotton,453.3,21.1,Silt,92.4,6.95,4.06
Rajasthan,Soybean,789.0,23.2,Clay,176.7,3.49,4.71
Rajasthan,Pulses,1089.8,28.4,Peaty,121.8,5.03,4.67
Bihar,Maize,975.8,24.4,Clay,163.6,4.95,5.61
Uttar Pradesh,Pulses,1047.6,22.8,Sandy,92.6,6.82,4.36
Bihar,Rice,883.7,26.3,Sandy,176.3,4.23,5.85
Uttar Pradesh,Soybean,1192.4,20.3,Clay,130.9,6.16,5.1
Andhra Pradesh,Cotton,1131.2,28.1,Sandy,137.4,1.09,3.78
Tamil Nadu,Soybean,1011.5,31.7,Loamy,125.3,1.27,4.78
Tamil Nadu,Soybean,1131.9,25.6,Silt,99.8,0.5,4.69
Tamil Nadu,Cotton,1087.6,25.0,Silt,119.9,6.07,4.48
Rajasthan,Rice,790.1,27.9,Peaty,102.3,5.85,6.49
Maharashtra,Cotton,564.0,15.9,Clay,158.4,6.29,3.48
Tamil Nadu,Soybean,1005.1,28.7,Clay,111.9,3.15,5.24
Gujarat,Pulses,1036.5,40.0,Sandy,60.1,3.37,1.67
Tamil Nadu,Pulses,1172.6,25.4,Silt,52.8,4.26,3.88
Punjab,Rice,665.9,25.4,Peaty,50.9,7.39,6.9
Maharashtra,Sugarcane,673.4,29.7,Loamy,144.7,7.89,6.37
Punjab,Wheat,1015.0,34.2,Clay,73.9,6.09,4.64
Punjab,Sugarcane,882.2,30.9,Clay,132.0,5.16,6.42
Andhra Pradesh,Pulses,428.6,15.2,Clay,125.5,7.17,3.65
Bihar,Wheat,993.8,28.8,Sandy,117.4,3.99,4.62
Gujarat,Sugarcane,436.9,38.9,Peaty,137.5,3.72,4.53
Bihar,Pulses,663.7,29.1,Loamy,126.3,4.24,3.98
Maharashtra,Soybean,1237.9,20.2,Peaty,20.0,2.54,4.23
Rajasthan,Maize,1356.2,27.4,Silt,107.1,4.15,5.61
Rajasthan,Wheat,596.1,19.6,Silt,137.0,2.27,4.21
Maharashtra,Pulses,817.7,32.2,Silt,185.6,6.55,3.44
Uttar Pradesh,Pulses,910.7,21.2,Loamy,187.5,5.59,4.58
Punjab,Sugarcane,1345.3,26.4,Silt,65.5,7.36,7.42
Andhra Pradesh,Pulses,776.8,21.7,Clay,106.0,1.24,3.23
Tamil Nadu,Wheat,780.8,23.3,Sandy,57.4,8.3,4.05
Punjab,Sugarcane,1287.2,33.4,Silt,180.8,1.36,6.33
Rajasthan,Wheat,806.3,26.5,Silt,160.5,2.1,4.97
Punjab,Pulses,1080.6,23.2,Clay,134.0,3.26,4.44
Punjab,Sugarcane,530.7,20.3,Clay,126.6,7.12,6.8
Andhra Pradesh,Pulses,857.2,16.6,Sandy,175.2,4.95,3.58
Punjab,Cotton,485.1,19.7,Loamy,168.5,4.01,4.4
Tamil Nadu,Wheat,636.1,26.6,Silt,166.3,2.91,5.67
Karnataka,Wheat,1109.8,30.9,Loamy,138.3,1.75,6.12
Rajasthan,Maize,887.5,23.2,Sandy,106.0,6.77,4.53
Andhra Pradesh,Soybean,820.2,33.9,,150.7,6.1,3.19
Karnataka,Rice,712.8,22.4,Loamy,152.6,7.2,6.36
Maharashtra,Soybean,844.8,24.8,Peaty,112.4,5.29,5.13
West Bengal,Rice,975.3,20.6,Clay,106.0,0.5,5.4
Gujarat,Cotton,1145.7,31.0,Loamy,165.3,2.01,4.58
Gujarat,Rice,243.7,36.5,Silt,186.6,5.43,4.15
Maharashtra,Cotton,692.1,17.2,,90.0,3.76,2.71
West Bengal,Cotton,939.8,24.3,Silt,109.5,3.38,3.98
Uttar Pradesh,Wheat,875.3,,Silt,134.0,2.29,4.24
Andhra Pradesh,Cotton,1000.8,18.8,Sandy,139.5,6.4,4.01
Gujarat,Soybean,966.9,28.8,Peaty,99.1,5.41,4.72
Uttar Pradesh,Pulses,823.8,32.1,Clay,195.3,5.5,3.65
Andhra Pradesh,Maize,768.3,26.4,Sandy,136.9,3.23,5.04
Uttar Pradesh,Pulses,838.6,28.8,Loamy,141.3,4.85,4.25
Gujarat,Pulses,1187.2,34.8,Silt,190.4,1.82,3.55
West Bengal,Pulses,717.0,35.7,Clay,102.0,4.24,2.47
Gujarat,Maize,884.3,25.7,Silt,116.5,0.5,4.56
Maharashtra,Soybean,945.8,23.3,Peaty,69.9,1.36,4.64
Rajasthan,Cotton,1290.1,21.4,Peaty,113.1,3.86,4.82
Bihar,Wheat,824.9,30.9,Peaty,60.4,9.25,4.81
Punjab,Rice,1139.7,19.1,,149.9,0.9,6.33
Punjab,Sugarcane,1208.0,24.7,Loamy,136.8,2.01,7.97
Tamil Nadu,Rice,884.1,26.5,Peaty,108.9,4.93,6.01
West Bengal,Cotton,847.3,,Clay,116.0,8.04,5.03
Rajasthan,Soybean,817.7,27.4,Loamy,150.5,4.9,4.17
Maharashtra,Rice,836.0,38.8,Clay,74.6,5.9,4.47
Maharashtra,Cotton,1113.6,25.4,Peaty,128.2,3.82,4.38
Maharashtra,Rice,957.8,23.8,Clay,,3.48,6.38
Uttar Pradesh,Cotton,958.8,31.1,Loamy,48.7,4.66,3.83
Karnataka,Rice,618.7,27.2,Silt,147.4,3.18,5.57
Bihar,Pulses,658.1,33.2,Loamy,53.0,5.95,3.24
Karnataka,Wheat,1435.9,26.8,Clay,115.3,1.29,5.15
Andhra Pradesh,Pulses,855.5,24.8,,73.5,6.28,5.08
Bihar,Soybean,706.3,17.1,Silt,177.2,4.58,3.91
Andhra Pradesh,Soybean,1257.8,17.9,Sandy,73.7,4.07,4.65
Tamil Nadu,Soybean,970.5,16.8,Peaty,54.0,1.21,3.71
Tamil Nadu,Rice,1044.5,27.9,Clay,125.3,2.54,6.44
Rajasthan,Pulses,865.5,19.2,Clay,103.5,6.9,3.35
Maharashtra,Sugarcane,820.3,32.3,Loamy,59.8,4.08,6.38
Tamil Nadu,Pulses,857.6,26.2,Clay,141.0,5.06,3.99
Bihar,Pulses,554.3,24.8,Sandy,40.3,2.74,3.53
West Bengal,Sugarcane,878.0,21.8,Loamy,78.6,4.44,7.1
Punjab,Maize,974.0,29.1,Sandy,97.0,1.76,3.9
West Bengal,Wheat,1362.6,22.0,Peaty,152.1,4.7,5.25
Bihar,Wheat,921.5,21.1,Silt,,5.24,4.69
Maharashtra,Maize,316.5,31.9,Silt,164.1,5.14,4.92
Rajasthan,Soybean,876.5,27.8,Peaty,113.9,2.69,4.96
Maharashtra,Cotton,1584.9,24.8,Silt,22.9,3.82,4.33
Maharashtra,Cotton,1116.6,,Silt,135.6,5.57,4.17
Bihar,Rice,697.3,26.0,Peaty,178.8,4.08,6.37
Karnataka,Cotton,1047.8,27.9,Loamy,169.4,3.93,4.31
Gujarat,Sugarcane,714.5,21.9,Peaty,138.5,8.31,7.34
Karnataka,Pulses,561.5,36.4,Clay,72.4,2.6,2.44
Rajasthan,Soybean,812.9,23.1,Silt,99.0,6.66,4.56
Rajasthan,Sugarcane,922.9,33.8,Peaty,197.4,2.19,6.42
Rajasthan,Pulses,432.0,25.1,Sandy,63.3,5.81,3.27
Karnataka,Maize,612.7,30.0,Loamy,74.1,5.92,5.54
West Bengal,Pulses,902.6,,Clay,157.7,3.48,3.44
Andhra Pradesh,Maize,798.0,31.7,Sandy,102.8,2.07,4.47
Karnataka,Wheat,998.7,21.8,Peaty,72.7,0.56,5.13
Bihar,Maize,596.3,31.4,Peaty,181.1,3.27,5.18
Karnataka,Wheat,1078.5,35.2,Sandy,138.4,5.55,4.07
West Bengal,Wheat,604.1,24.7,Peaty,104.7,2.34,4.84
Karnataka,Pulses,1310.7,26.2,Sandy,74.2,4.69,4.21
West Bengal,Soybean,471.1,23.4,Sandy,201.9,1.55,3.7
Maharashtra,Rice,626.9,24.3,Peaty,119.0,4.03,5.58
Rajasthan,Soybean,1004.3,34.6,Silt,175.9,2.21,3.97
Maharashtra,Wheat,1316.1,21.0,Sandy,155.7,4.34,4.3
Gujarat,Rice,978.8,21.3,Sandy,99.2,3.5,5.46
Tamil Nadu,Sugarcane,1040.7,34.1,Silt,99.5,2.12,5.75
West Bengal,Maize,904.4,29.1,Silt,177.9,3.18,5.09
Gujarat,Soybean,643.4,,Sandy,178.5,2.63,2.66
Tamil Nadu,Pulses,777.5,23.7,Loamy,44.9,1.87,3.64
Gujarat,Wheat,597.0,26.6,Loamy,142.0,6.67,5.54
Tamil Nadu,Wheat,580.3,22.7,Loamy,115.2,3.78,5.08
Tamil Nadu,Pulses,1000.4,26.7,Sandy,78.7,0.5,2.93
Maharashtra,Cotton,619.2,17.1,Silt,130.5,3.25,3.78
Tamil Nadu,Cotton,979.9,,Peaty,66.0,6.33,4.51
Gujarat,Cotton,574.5,,Clay,,2.98,4.07
Andhra Pradesh,Cotton,974.1,25.7,Silt,88.1,7.5,4.95
Andhra Pradesh,Sugarcane,777.8,24.0,Silt,100.0,2.79,7.04
Maharashtra,Sugarcane,1251.7,21.5,Loamy,117.1,5.51,7.7
West Bengal,Rice,980.9,29.6,Clay,79.4,6.57,5.86
Bihar,Sugarcane,1208.9,20.1,Clay,182.9,5.4,6.62
Maharashtra,Sugarcane,,28.6,Peaty,139.7,1.75,6.7
Tamil Nadu,Wheat,914.0,36.4,Peaty,191.8,2.62,4.38
Gujarat,Maize,654.7,33.4,Peaty,113.6,6.84,5.11
Tamil Nadu,Soybean,796.6,18.5,Sandy,98.0,2.89,2.35
Karnataka,Sugarcane,834.5,23.3,Sandy,190.3,6.45,6.9
Uttar Pradesh,Wheat,,28.1,Clay,96.9,3.64,5.11
Punjab,Wheat,596.1,25.6,Silt,112.9,4.78,4.7
Punjab,Sugarcane,546.6,19.0,Loamy,148.8,1.73,6.72
Bihar,Cotton,315.1,27.9,Clay,70.5,3.28,3.79
Maharashtra,Pulses,635.9,25.9,Loamy,148.5,2.75,3.87
Uttar Pradesh,Cotton,1056.9,35.6,Sandy,143.3,4.95,3.38
Andhra Pradesh,Pulses,500.4,24.7,Clay,170.8,4.69,3.46
Tamil Nadu,Rice,558.0,31.8,Loamy,155.6,5.43,5.7
Maharashtra,Cotton,1347.7,19.7,Clay,172.0,3.52,4.37
Tamil Nadu,Wheat,740.9,20.9,Peaty,115.6,2.64,4.58
Rajasthan,Sugarcane,980.3,29.6,Sandy,85.5,4.87,6.37
Maharashtra,Rice,1060.6,31.4,Peaty,204.4,2.44,6.35
Karnataka,Cotton,1065.6,21.2,Peaty,58.9,6.66,4.99
Rajasthan,Maize,519.4,26.1,Peaty,62.9,4.27,5.53
Bihar,Rice,842.2,19.1,Clay,142.6,3.85,5.04
Punjab,Wheat,495.4,25.1,Peaty,185.0,5.42,4.7
Andhra Pradesh,Cotton,1511.6,30.2,,127.6,4.35,4.85
Rajasthan,Pulses,501.3,23.8,Peaty,160.0,1.18,3.7
Rajasthan,Rice,638.0,24.8,Clay,40.2,2.38,5.25
Andhra Pradesh,Maize,639.8,20.4,Clay,100.0,6.62,5.9
Tamil Nadu,Rice,525.8,22.8,Sandy,45.0,4.67,5.04
Maharashtra,Soybean,1238.1,34.8,Peaty,151.2,1.14,4.16
Tamil Nadu,Maize,1505.6,26.4,Peaty,58.1,5.2,6.49
Andhra Pradesh,Pulses,781.1,21.0,Sandy,68.9,3.38,3.2
Bihar,Rice,569.9,24.4,Loamy,140.6,2.75,6.86
Maharashtra,Wheat,340.8,18.0,Sandy,162.5,2.21,3.21
Bihar,Sugarcane,839.0,20.9,Silt,113.6,6.5,6.55
Karnataka,Sugarcane,820.9,32.8,Sandy,142.8,0.57,5.02
Rajasthan,Pulses,737.2,25.3,Clay,141.5,2.82,4.45
Bihar,Pulses,955.3,35.5,Clay,111.4,4.74,3.39
Rajasthan,Pulses,998.8,25.5,Loamy,76.2,7.66,4.46
Bihar,Sugarcane,980.8,25.8,Clay,142.6,5.61,6.82
Bihar,Maize,821.0,29.2,Silt,144.5,2.81,5.58
Punjab,Cotton,624.6,12.6,Clay,155.8,7.56,2.98
Tamil Nadu,Wheat,1066.5,27.0,Peaty,132.5,1.79,5.7
Bihar,Cotton,903.1,25.8,Loamy,73.3,5.03,4.57
Gujarat,Maize,1122.1,33.4,Sandy,147.6,5.48,4.82
West Bengal,Wheat,,30.8,Sandy,119.9,2.74,4.42
West Bengal,Rice,544.6,,Peaty,100.7,5.9,5.58
Punjab,Cotton,541.4,32.2,Peaty,108.2,3.47,3.57
Maharashtra,Maize,,,Sandy,,5.89,4.53
Karnataka,Pulses,635.9,21.5,Silt,155.6,0.82,3.52
Rajasthan,Cotton,1088.8,27.0,Silt,63.3,5.17,4.56
Punjab,Pulses,987.8,25.0,Sandy,80.3,3.68,3.92
Gujarat,Sugarcane,1174.8,33.7,Loamy,106.8,6.8,7.1
Andhra Pradesh,Wheat,999.1,27.7,Sandy,184.6,4.41,4.69
Bihar,Rice,952.2,27.0,Clay,162.2,7.0,6.83
West Bengal,Sugarcane,1199.9,30.5,Sandy,54.4,5.52,6.63
Maharashtra,Cotton,1017.4,31.5,Silt,174.1,4.24,4.47
Maharashtra,Maize,917.0,29.9,Clay,174.0,6.08,6.02
Maharashtra,Cotton,1270.1,33.1,Clay,73.0,6.09,3.98
Tamil Nadu,Pulses,928.8,29.0,Peaty,20.0,5.44,4.07
Andhra Pradesh,Maize,823.9,26.8,Clay,117.1,0.5,5.25
Andhra Pradesh,Wheat,690.5,32.2,Loamy,164.9,2.53,4.24
Gujarat,Maize,1075.8,25.5,Silt,183.7,7.27,5.47
Maharashtra,Pulses,1209.3,26.2,Silt,85.2,1.99,3.53
Rajasthan,Soybean,887.4,34.6,Peaty,190.1,6.26,4.2
Maharashtra,Soybean,1227.0,34.1,Silt,30.9,5.91,3.81
Maharashtra,Pulses,407.5,26.0,Peaty,105.3,3.05,3.28
West Bengal,Wheat,886.1,23.7,Sandy,,0.51,4.18
Bihar,Rice,890.0,33.3,Clay,166.1,3.36,5.28
Punjab,Wheat,718.3,30.0,Peaty,171.9,8.66,5.71
Punjab,Wheat,1496.0,27.6,Clay,158.2,2.77,6.19
Maharashtra,Soybean,883.5,24.4,Clay,66.0,2.91,4.64
Uttar Pradesh,Pulses,798.1,27.7,Peaty,154.5,2.5,3.82
Gujarat,Rice,906.5,25.9,Peaty,140.4,6.93,6.67
West Bengal,Soybean,399.3,22.7,Clay,53.2,4.01,4.08
Karnataka,Cotton,710.0,26.6,Silt,37.3,3.25,3.64
Punjab,Wheat,1145.8,,Peaty,161.5,7.33,5.45
Punjab,Pulses,742.8,24.1,Silt,112.8,5.66,3.82
Uttar Pradesh,Pulses,692.8,30.5,Loamy,68.6,2.66,3.64
Maharashtra,Cotton,,32.4,Silt,111.7,2.05,4.01
Gujarat,Sugarcane,1235.1,30.8,Loamy,134.6,6.82,7.55
Andhra Pradesh,Maize,1029.2,24.6,Peaty,116.7,4.53,6.49
Karnataka,Soybean,786.2,29.8,Loamy,57.9,1.4,4.51
Uttar Pradesh,Cotton,840.1,26.4,Peaty,195.4,0.93,4.34
Andhra Pradesh,Pulses,699.0,19.8,,160.2,2.27,3.76
Uttar Pradesh,Wheat,651.3,29.4,Sandy,106.6,2.02,3.63
Punjab,Rice,638.9,26.7,Clay,108.2,0.5,5.11
Bihar,Pulses,745.5,39.0,Peaty,134.4,2.3,1.85
Karnataka,Maize,641.3,33.3,Clay,74.8,2.66,3.49
Punjab,Maize,509.1,29.6,Silt,132.9,3.57,4.51
Karnataka,Soybean,954.9,27.2,Loamy,66.8,7.89,5.72
Bihar,Rice,958.6,26.8,Sandy,117.2,3.97,5.65
Rajasthan,Cotton,1325.2,21.0,Peaty,73.3,4.16,4.49
Rajasthan,Maize,732.9,17.3,Peaty,75.3,5.52,5.14
Bihar,Rice,974.0,21.6,Clay,185.8,4.03,5.36
Gujarat,Pulses,978.2,25.8,Clay,122.4,5.3,4.37
Gujarat,Rice,836.5,15.5,Sandy,128.3,5.06,5.09
Rajasthan,Wheat,1086.1,23.3,Sandy,39.5,4.75,4.53
Tamil Nadu,Sugarcane,1093.8,24.8,Sandy,96.1,10.03,6.3
Tamil Nadu,Pulses,981.9,24.9,Loamy,138.4,6.32,4.53
West Bengal,Wheat,836.1,22.7,Silt,127.8,2.34,5.21
Tamil Nadu,Sugarcane,810.6,24.3,Clay,33.8,5.24,6.77
Karnataka,Cotton,558.1,34.6,Clay,128.3,2.92,2.52
Bihar,Soybean,698.5,29.3,Peaty,134.7,5.39,5.51
Rajasthan,Wheat,744.5,23.2,Silt,171.4,1.75,4.25
West Bengal,Pulses,619.0,25.7,Clay,93.8,2.28,3.57
West Bengal,Sugarcane,1010.0,25.9,Peaty,30.3,5.19,6.65
Gujarat,Soybean,1199.2,22.2,Clay,80.1,6.5,4.62
Gujarat,Maize,673.0,22.2,Sandy,76.1,5.51,4.61
Andhra Pradesh,Pulses,970.9,31.1,Clay,149.5,6.21,4.23
Bihar,Sugarcane,641.5,23.9,Loamy,20.0,5.25,7.18
Punjab,Wheat,823.8,20.5,Sandy,102.1,4.84,4.25
Punjab,Pulses,727.4,25.8,Sandy,177.0,3.49,3.14
Karnataka,Soybean,1050.5,26.6,Peaty,120.3,6.13,5.34
Karnataka,Maize,730.3,16.1,Clay,155.9,6.55,5.0
Uttar Pradesh,Cotton,1152.9,25.8,Peaty,54.3,4.37,4.67
Maharashtra,Maize,838.6,30.3,Silt,55.9,4.27,5.04
Uttar Pradesh,Cotton,737.6,28.3,Loamy,177.5,7.68,4.66
West Bengal,Pulses,586.7,37.1,,124.0,4.46,2.35
Karnataka,Pulses,963.3,32.3,Sandy,124.1,4.65,3.13
Gujarat,Rice,1123.8,33.2,Clay,75.3,5.47,5.91
West Bengal,Pulses,968.3,40.0,Sandy,124.0,4.3,2.23
Rajasthan,Cotton,,29.8,,74.2,2.86,4.41
Gujarat,Sugarcane,1257.4,26.8,Silt,167.5,5.26,7.24
Rajasthan,Soybean,823.1,30.9,Sandy,229.1,4.42,4.05
Punjab,Cotton,820.5,23.2,Sandy,139.4,8.18,3.8
West Bengal,Cotton,1017.4,26.5,Clay,94.6,6.08,4.76
Gujarat,Cotton,690.5,22.8,Clay,20.0,3.31,3.83
West Bengal,Pulses,1191.6,28.0,Sandy,52.6,5.96,3.6
West Bengal,Maize,990.4,22.7,Sandy,182.2,5.12,5.52
Bihar,Rice,964.1,22.6,Clay,,7.12,6.15
Bihar,Maize,1071.7,28.1,Sandy,105.2,3.45,4.65
Punjab,Rice,1330.7,25.3,Clay,146.2,4.88,6.6
Andhra Pradesh,Maize,942.7,16.4,Sandy,179.3,4.3,4.49
Gujarat,Wheat,871.7,18.7,Loamy,112.0,4.62,5.36
Maharashtra,Wheat,1277.2,20.3,Sandy,103.8,2.73,4.85
West Bengal,Soybean,1141.9,21.6,Silt,122.9,5.65,4.79
West Bengal,Wheat,819.8,28.1,Peaty,94.9,5.34,5.04
Bihar,Cotton,901.3,27.1,Silt,97.0,7.07,4.34
Uttar Pradesh,Soybean,,31.3,Silt,136.5,4.48,4.44
Andhra Pradesh,Soybean,990.5,29.8,Loamy,127.4,3.68,5.01
Tamil Nadu,Cotton,560.9,31.4,Clay,205.3,6.08,3.99
Uttar Pradesh,Rice,514.4,29.0,Silt,137.6,2.91,5.32
Uttar Pradesh,Pulses,678.2,27.0,Peaty,166.0,6.67,4.69
Gujarat,Soybean,658.8,31.5,Sandy,77.1,6.67,3.46
Uttar Pradesh,Sugarcane,739.0,30.6,Peaty,141.0,7.01,7.78
Bihar,Wheat,1058.7,27.9,Clay,,5.25,5.47
Punjab,Wheat,857.8,32.4,Loamy,135.8,3.53,4.42
Maharashtra,Maize,949.1,14.3,Loamy,147.5,4.72,4.86
Karnataka,Rice,593.9,24.5,Sandy,122.0,5.26,5.62
Andhra Pradesh,Pulses,784.6,24.5,Silt,216.3,3.38,3.85
Tamil Nadu,Rice,1046.8,31.8,Clay,177.1,7.17,5.45
Karnataka,Rice,1048.7,33.9,Silt,167.1,5.66,5.08
Rajasthan,Pulses,718.9,18.7,Silt,150.6,2.72,3.58
Maharashtra,Soybean,940.4,33.1,Clay,190.5,8.27,3.86
Karnataka,Rice,1449.7,20.1,Clay,62.5,4.69,5.65
Uttar Pradesh,Maize,895.6,20.3,Silt,174.8,2.31,5.29
Andhra Pradesh,Cotton,726.7,24.8,Silt,80.4,2.84,3.8
Tamil Nadu,Sugarcane,856.6,24.4,Loamy,97.4,7.48,7.13
Tamil Nadu,Pulses,923.0,18.2,Clay,,8.15,3.81
Karnataka,Pulses,862.2,29.2,Sandy,169.3,6.52,3.14
Gujarat,Pulses,892.2,,Sandy,73.9,7.14,3.71
